ADDRESS_DETAIL_PID,DATE_CREATED,ADDRESS_LABEL,ADDRESS_SITE_NAME,BUILDING_NAME,FLAT_TYPE,FLAT_NUMBER,LEVEL_TYPE,LEVEL_NUMBER,NUMBER_FIRST,NUMBER_LAST,LOT_NUMBER,STREET_NAME,STREET_TYPE,STREET_SUFFIX,LOCALITY_NAME,STATE,POSTCODE,LEGAL_PARCEL_ID,MB_CODE,ALIAS_PRINCIPAL,PRINCIPAL_PID,PRIMARY_SECONDARY,PRIMARY_PID,GEOCODE_TYPE,LONGITUDE,LATITUDE
GAOT_717319839,10-11-2017,"UNIT 3 4 KONG WAI LOH LANE, CHRISTMAS ISLAND OT 6798",,,UNIT,3,,,4,,,KONG WAI LOH,LANE,,CHRISTMAS ISLAND,OT,6798,P218346/304,90000123000,PRINCIPAL,,SECONDARY,GAOT_718041102,PROPERTY CENTROID,105.68000634,-10.4254291
GAOT_717319857,10-11-2017,"UNIT 1 1 LORONG KAMPONG MELAYU, CHRISTMAS ISLAND OT 6798",,,UNIT,1,,,1,,,LORONG KAMPONG MELAYU,,,CHRISTMAS ISLAND,OT,6798,P218152/228,90000111000,PRINCIPAL,,SECONDARY,GAOT_717321323,PROPERTY CENTROID,105.67192166,-10.42846905
GAOT_717319860,10-11-2017,"UNIT 4 1 LORONG KAMPONG MELAYU, CHRISTMAS ISLAND OT 6798",,,UNIT,4,,,1,,,LORONG KAMPONG MELAYU,,,CHRISTMAS ISLAND,OT,6798,P218152/228,90000111000,PRINCIPAL,,SECONDARY,GAOT_717321323,PROPERTY CENTROID,105.67192166,-10.42846905
GAOT_717319866,10-11-2017,"LOT 201 LORONG KAMPONG MELAYU, CHRISTMAS ISLAND OT 6798",,,,,,,,,201,LORONG KAMPONG MELAYU,,,CHRISTMAS ISLAND,OT,6798,P218137/201,90000111000,PRINCIPAL,,,,PROPERTY CENTROID,105.67113874,-10.42933492
GAOT_717319870,12-05-2020,"UNIT 2 17 MURRAY RD, CHRISTMAS ISLAND OT 6798",,,UNIT,2,,,17,,,MURRAY,ROAD,,CHRISTMAS ISLAND,OT,6798,P218346/309,90000123000,PRINCIPAL,,SECONDARY,GAOT_718041107,PROPERTY CENTROID,105.68000387,-10.42504914
GAOT_717319930,12-05-2020,"UNIT 10 34 POON SAAN RD, CHRISTMAS ISLAND OT 6798",,,UNIT,10,,,34,,,POON SAAN,ROAD,,CHRISTMAS ISLAND,OT,6798,P218309/295,90000122000,PRINCIPAL,,SECONDARY,GAOT_717321447,PROPERTY CENTROID,105.68173847,-10.42280348
GAOT_717319931,12-05-2020,"UNIT 10 63 POON SAAN RD, CHRISTMAS ISLAND OT 6798",,,UNIT,10,,,63,,,POON SAAN,ROAD,,CHRISTMAS ISLAND,OT,6798,P192425/456,90000112000,PRINCIPAL,,SECONDARY,GAOT_717321463,PROPERTY CENTROID,105.68107532,-10.42248873
GAOT_717319953,12-05-2020,"UNIT 2 34 POON SAAN RD, CHRISTMAS ISLAND OT 6798",,,UNIT,2,,,34,,,POON SAAN,ROAD,,CHRISTMAS ISLAND,OT,6798,P218309/295,90000122000,PRINCIPAL,,SECONDARY,GAOT_717321447,PROPERTY CENTROID,105.68173847,-10.42280348
GAOT_717319958,12-05-2020,"UNIT 34 34 POON SAAN RD, CHRISTMAS ISLAND OT 6798",,,UNIT,34,,,34,,,POON SAAN,ROAD,,CHRISTMAS ISLAND,OT,6798,P218309/295,90000122000,PRINCIPAL,,SECONDARY,GAOT_717321447,PROPERTY CENTROID,105.68173847,-10.42280348
GAOT_717319980,13-02-2021,"38 POON SAAN RD, CHRISTMAS ISLAND OT 6798",,,,,,,38,,,POON SAAN,ROAD,,CHRISTMAS ISLAND,OT,6798,P218309/296,90000122000,PRINCIPAL,,PRIMARY,,PROPERTY CENTROID,105.68263539,-10.42215697
GAOT_717319982,13-02-2021,"LOT 500 QUARRY RD, CHRISTMAS ISLAND OT 6798",,,,,,,,,500,QUARRY,ROAD,,CHRISTMAS ISLAND,OT,6798,P220143/500,90000121000,PRINCIPAL,,,,PROPERTY CENTROID,105.68493861,-10.42541181
GAOT_717319984,13-02-2021,"LOT 502 QUARRY RD, CHRISTMAS ISLAND OT 6798",,,,,,,,,502,QUARRY,ROAD,,CHRISTMAS ISLAND,OT,6798,P220143/502,90000121000,PRINCIPAL,,,,PROPERTY CENTROID,105.68539456,-10.42572109
GAOT_717319989,13-02-2021,"LOT 507 QUARRY RD, CHRISTMAS ISLAND OT 6798",,,,,,,,,507,QUARRY,ROAD,,CHRISTMAS ISLAND,OT,6798,P220143/507,90000121000,PRINCIPAL,,,,PROPERTY CENTROID,105.68566593,-10.42593291
GAOT_717320045,13-11-2012,"38 AIR FORCE RD, WEST ISLAND OT 6799",,,,,,,38,,,AIR FORCE,ROAD,,WEST ISLAND,OT,6799,,90000570000,PRINCIPAL,,,,STREET LOCALITY,96.84370912,-12.20477449
GAOT_717320047,13-11-2012,"40 AIR FORCE RD, WEST ISLAND OT 6799",,,,,,,40,,,AIR FORCE,ROAD,,WEST ISLAND,OT,6799,,90000570000,PRINCIPAL,,,,STREET LOCALITY,96.84370912,-12.20477449
GAOT_717320089,19-09-2024,"48 BEACON HEIGHTS RD, WEST ISLAND OT 6799",,,,,,,48,,,BEACON HEIGHTS,ROAD,,WEST ISLAND,OT,6799,P218315/148,90000570000,PRINCIPAL,,,,PROPERTY CENTROID,96.82554997,-12.1852598
GAOT_717320090,19-09-2024,"49 BEACON HEIGHTS RD, WEST ISLAND OT 6799",,,,,,,49,,,BEACON HEIGHTS,ROAD,,WEST ISLAND,OT,6799,P218315/149,90000570000,PRINCIPAL,,,,PROPERTY CENTROID,96.8255223,-12.18573161
GAOT_717320103,13-11-2012,"195 BENSON RD, JERVIS BAY OT 2540",,,,,,,195,,,BENSON,ROAD,,JERVIS BAY,OT,2540,,90000010000,PRINCIPAL,,,,STREET LOCALITY,150.70706141,-35.1308552
GAOT_717320105,13-11-2012,"197 BENSON RD, JERVIS BAY OT 2540",,,,,,,197,,,BENSON,ROAD,,JERVIS BAY,OT,2540,,90000010000,PRINCIPAL,,,,STREET LOCALITY,150.70706141,-35.1308552
GAOT_717320134,13-11-2012,"1 CAPTAINS DR, JERVIS BAY OT 2540",,,,,,,1,,,CAPTAINS,DRIVE,,JERVIS BAY,OT,2540,,90000030000,PRINCIPAL,,,,LOCALITY,150.69612068,-35.14907948
GAOT_717320167,13-11-2012,"10 ELDRIDGE RD, JERVIS BAY OT 2540",,,,,,,10,,,ELDRIDGE,ROAD,,JERVIS BAY,OT,2540,,90000030000,PRINCIPAL,,,,LOCALITY,150.69612068,-35.14907948
GAOT_717320168,13-11-2012,"11 ELDRIDGE RD, JERVIS BAY OT 2540",,,,,,,11,,,ELDRIDGE,ROAD,,JERVIS BAY,OT,2540,,90000030000,PRINCIPAL,,,,LOCALITY,150.69612068,-35.14907948
GAOT_717320269,13-11-2012,"56 JALAN BUNGA KANGKONG, HOME ISLAND OT 6799",,,,,,,56,,,JALAN BUNGA KANGKONG,,,HOME ISLAND,OT,6799,,90000180000,PRINCIPAL,,,,STREET LOCALITY,96.89681607,-12.11842591
GAOT_717320280,13-11-2012,"67 JALAN BUNGA KANGKONG, HOME ISLAND OT 6799",,,,,,,67,,,JALAN BUNGA KANGKONG,,,HOME ISLAND,OT,6799,,90000180000,PRINCIPAL,,,,STREET LOCALITY,96.89681607,-12.11842591
GAOT_717320286,13-11-2012,"73 JALAN BUNGA KANGKONG, HOME ISLAND OT 6799",,,,,,,73,,,JALAN BUNGA KANGKONG,,,HOME ISLAND,OT,6799,,90000180000,PRINCIPAL,,,,STREET LOCALITY,96.89681607,-12.11842591
GAOT_717320303,13-11-2012,"91 JALAN BUNGA KANGKONG, HOME ISLAND OT 6799",,,,,,,91,,,JALAN BUNGA KANGKONG,,,HOME ISLAND,OT,6799,,90000180000,PRINCIPAL,,,,STREET LOCALITY,96.89681607,-12.11842591
GAOT_717320332,13-11-2012,"25 JALAN KEBUN, HOME ISLAND OT 6799",,,,,,,25,,,JALAN KEBUN,,,HOME ISLAND,OT,6799,,90000180000,PRINCIPAL,,,,LOCALITY,96.89559023,-12.11788833
GAOT_717320346,13-11-2012,"30 JALAN KEMBANG MOLOK, HOME ISLAND OT 6799",,,,,,,30,,,JALAN KEMBANG MOLOK,,,HOME ISLAND,OT,6799,,90000180000,PRINCIPAL,,,,STREET LOCALITY,96.89588962,-12.11865383
GAOT_717320349,13-11-2012,"33 JALAN KEMBANG MOLOK, HOME ISLAND OT 6799",,,,,,,33,,,JALAN KEMBANG MOLOK,,,HOME ISLAND,OT,6799,,90000180000,PRINCIPAL,,,,STREET LOCALITY,96.89588962,-12.11865383
GAOT_717320353,13-11-2012,"37 JALAN KEMBANG MOLOK, HOME ISLAND OT 6799",,,,,,,37,,,JALAN KEMBANG MOLOK,,,HOME ISLAND,OT,6799,,90000180000,PRINCIPAL,,,,STREET LOCALITY,96.89588962,-12.11865383
GAOT_717320359,13-11-2012,"43 JALAN KEMBANG MOLOK, HOME ISLAND OT 6799",,,,,,,43,,,JALAN KEMBANG MOLOK,,,HOME ISLAND,OT,6799,,90000180000,PRINCIPAL,,,,STREET LOCALITY,96.89588962,-12.11865383
GAOT_717320396,13-11-2012,"26 JALAN KIPAS, HOME ISLAND OT 6799",,,,,,,26,,,JALAN KIPAS,,,HOME ISLAND,OT,6799,,90000180000,PRINCIPAL,,,,STREET LOCALITY,96.89884002,-12.11895031
GAOT_717320401,13-11-2012,"2 JALAN PANTAI, HOME ISLAND OT 6799",,,,,,,2,,,JALAN PANTAI,,,HOME ISLAND,OT,6799,,90000180000,PRINCIPAL,,,,STREET LOCALITY,96.89375754,-12.11822791
GAOT_717320408,13-11-2012,"9 JALAN PANTAI, HOME ISLAND OT 6799",,,,,,,9,,,JALAN PANTAI,,,HOME ISLAND,OT,6799,,90000180000,PRINCIPAL,,,,STREET LOCALITY,96.89375754,-12.11822791
GAOT_717320869,13-11-2012,"32 QANTAS CL, WEST ISLAND OT 6799",,,,,,,32,,,QANTAS,CLOSE,,WEST ISLAND,OT,6799,,90000570000,PRINCIPAL,,,,STREET LOCALITY,96.83225533,-12.19297045
GAOT_717320873,13-11-2012,"6 QANTAS CL, WEST ISLAND OT 6799",,,,,,,6,,,QANTAS,CLOSE,,WEST ISLAND,OT,6799,,90000570000,PRINCIPAL,,,,STREET LOCALITY,96.83225533,-12.19297045
GAOT_717320877,13-11-2012,"214 RAMSAY PL, JERVIS BAY OT 2540",,,,,,,214,,,RAMSAY,PLACE,,JERVIS BAY,OT,2540,,90000030000,PRINCIPAL,,,,LOCALITY,150.69612068,-35.14907948
GAOT_717320991,13-11-2012,"15 SHORT ST, CHRISTMAS ISLAND OT 6798",,,,,,,15,,,SHORT,STREET,,CHRISTMAS ISLAND,OT,6798,,90000114000,PRINCIPAL,,,,STREET LOCALITY,105.67934018,-10.41651157
GAOT_717321001,13-11-2012,"3 SIMPSON RD, JERVIS BAY OT 2540",,,,,,,3,,,SIMPSON,ROAD,,JERVIS BAY,OT,2540,,90000030000,PRINCIPAL,,,,LOCALITY,150.69612068,-35.14907948
GAOT_717321002,13-11-2012,"6 SIMPSON RD, JERVIS BAY OT 2540",,,,,,,6,,,SIMPSON,ROAD,,JERVIS BAY,OT,2540,,90000030000,PRINCIPAL,,,,LOCALITY,150.69612068,-35.14907948
GAOT_717321098,13-11-2012,"52 VILLAGE RD, JERVIS BAY OT 2540",,,,,,,52,,,VILLAGE,ROAD,,JERVIS BAY,OT,2540,,90000091000,PRINCIPAL,,,,STREET LOCALITY,150.70585815,-35.13609535
GAOT_717321107,13-11-2012,"71 VILLAGE RD, JERVIS BAY OT 2540",,,,,,,71,,,VILLAGE,ROAD,,JERVIS BAY,OT,2540,JERV/128,90000091000,PRINCIPAL,,,,PROPERTY CENTROID,150.70576457,-35.13267132
GAOT_717321109,13-11-2012,"73 VILLAGE RD, JERVIS BAY OT 2540",,,,,,,73,,,VILLAGE,ROAD,,JERVIS BAY,OT,2540,JERV/130,90000091000,PRINCIPAL,,,,PROPERTY CENTROID,150.70648637,-35.13286554
GAOT_717321121,13-11-2012,"86 VILLAGE RD, JERVIS BAY OT 2540",,,,,,,86,,,VILLAGE,ROAD,,JERVIS BAY,OT,2540,JERV/149,90000091000,PRINCIPAL,,,,PROPERTY CENTROID,150.70682297,-35.13279219
GAOT_717321124,13-11-2012,"11 WILLIAM KEELING CR, WEST ISLAND OT 6799",,,,,,,11,,,WILLIAM KEELING,CRESCENT,,WEST ISLAND,OT,6799,,90000570000,PRINCIPAL,,,,STREET LOCALITY,96.83058847,-12.19108625
GAOT_717321132,13-11-2012,"19 WILLIAM KEELING CR, WEST ISLAND OT 6799",,,,,,,19,,,WILLIAM KEELING,CRESCENT,,WEST ISLAND,OT,6799,,90000570000,PRINCIPAL,,,,STREET LOCALITY,96.83058847,-12.19108625
GAOT_717321134,13-11-2012,"20 WILLIAM KEELING CR, WEST ISLAND OT 6799",,,,,,,20,,,WILLIAM KEELING,CRESCENT,,WEST ISLAND,OT,6799,,90000570000,PRINCIPAL,,,,STREET LOCALITY,96.83058847,-12.19108625
GAOT_717321150,13-02-2021,"10 ARENGA CL, CHRISTMAS ISLAND OT 6798",,,,,,,10,,,ARENGA,CLOSE,,CHRISTMAS ISLAND,OT,6798,P194782/531,90000112000,PRINCIPAL,,,,PROPERTY CENTROID,105.68211738,-10.42154361
GAOT_717321160,12-05-2020,"5 CLUB RD, CHRISTMAS ISLAND OT 6798",,,,,,,5,,,CLUB,ROAD,,CHRISTMAS ISLAND,OT,6798,P191122/299,90000111000,PRINCIPAL,,,,PROPERTY CENTROID,105.67353372,-10.42587725
GAOT_717321176,12-05-2020,"117 GAZE RD, CHRISTMAS ISLAND OT 6798",,,,,,,117,,,GAZE,ROAD,,CHRISTMAS ISLAND,OT,6798,P191333/328,90000114000,PRINCIPAL,,,,PROPERTY CENTROID,105.68267625,-10.4171702
GAOT_717321204,12-05-2020,"47 GAZE RD, CHRISTMAS ISLAND OT 6798",,,,,,,47,,,GAZE,ROAD,,CHRISTMAS ISLAND,OT,6798,P035144/1053,90000111000,PRINCIPAL,,,,PROPERTY CENTROID,105.67422174,-10.41785078
GAOT_717321208,12-05-2020,"49C GAZE RD, CHRISTMAS ISLAND OT 6798",,,,,,,49C,,,GAZE,ROAD,,CHRISTMAS ISLAND,OT,6798,P035144/1054,90000111000,PRINCIPAL,,,,PROPERTY CENTROID,105.67420329,-10.41760381
GAOT_717321209,12-05-2020,"4 GAZE RD, CHRISTMAS ISLAND OT 6798",,,,,,,4,,,GAZE,ROAD,,CHRISTMAS ISLAND,OT,6798,P218434/337,90000111000,PRINCIPAL,,,,PROPERTY CENTROID,105.67318116,-10.42247281
GAOT_717321226,12-05-2020,"7 GAZE RD, CHRISTMAS ISLAND OT 6798",,,,,,,7,,,GAZE,ROAD,,CHRISTMAS ISLAND,OT,6798,P219654/485,90000111000,PRINCIPAL,,,,PROPERTY CENTROID,105.67267866,-10.42281535
GAOT_717321227,12-05-2020,"81-85 GAZE RD, CHRISTMAS ISLAND OT 6798",,,,,,,81,85,,GAZE,ROAD,,CHRISTMAS ISLAND,OT,6798,P192457/423,90000114000,PRINCIPAL,,,,PROPERTY CENTROID,105.67828915,-10.41571838
GAOT_717321233,12-05-2020,"95 GAZE RD, CHRISTMAS ISLAND OT 6798",,,,,,,95,,,GAZE,ROAD,,CHRISTMAS ISLAND,OT,6798,P218121/150,90000114000,PRINCIPAL,,,,PROPERTY CENTROID,105.67954776,-10.41660134
GAOT_717321237,12-05-2020,"10 GUANO CT, CHRISTMAS ISLAND OT 6798",,,,,,,10,,,GUANO,COURT,,CHRISTMAS ISLAND,OT,6798,P192420/453,90000112000,PRINCIPAL,,,,PROPERTY CENTROID,105.67609834,-10.42223288
GAOT_717321240,12-05-2020,"2 GUANO CT, CHRISTMAS ISLAND OT 6798",,,,,,,2,,,GUANO,COURT,,CHRISTMAS ISLAND,OT,6798,P218534/354,90000112000,PRINCIPAL,,,,PROPERTY CENTROID,105.67545191,-10.42254362
GAOT_717321241,12-05-2020,"3 GUANO CT, CHRISTMAS ISLAND OT 6798",,,,,,,3,,,GUANO,COURT,,CHRISTMAS ISLAND,OT,6798,P218534/348,90000112000,PRINCIPAL,,,,PROPERTY CENTROID,105.67595528,-10.42187782
GAOT_717321250,10-11-2017,"3 JALAN GURU, CHRISTMAS ISLAND OT 6798",,,,,,,3,,,JALAN GURU,,,CHRISTMAS ISLAND,OT,6798,P218104/20,90000102000,PRINCIPAL,,,,PROPERTY CENTROID,105.66925726,-10.43494706
GAOT_717321252,10-11-2017,"5 JALAN GURU, CHRISTMAS ISLAND OT 6798",,,,,,,5,,,JALAN GURU,,,CHRISTMAS ISLAND,OT,6798,P218104/19,90000102000,PRINCIPAL,,,,PROPERTY CENTROID,105.669003,-10.43486134
GAOT_717321258,10-11-2017,"12 JALAN KETAM MERAH, CHRISTMAS ISLAND OT 6798",,,,,,,12,,,JALAN KETAM MERAH,,,CHRISTMAS ISLAND,OT,6798,P218105/42,90000102000,PRINCIPAL,,,,PROPERTY CENTROID,105.67245311,-10.43283528
GAOT_717321271,10-11-2017,"7 JALAN KETAM MERAH, CHRISTMAS ISLAND OT 6798",,,,,,,7,,,JALAN KETAM MERAH,,,CHRISTMAS ISLAND,OT,6798,P218105/34,90000102000,PRINCIPAL,,,,PROPERTY CENTROID,105.67189305,-10.43275995
GAOT_717321273,10-11-2017,"9 JALAN KETAM MERAH, CHRISTMAS ISLAND OT 6798",,,,,,,9,,,JALAN KETAM MERAH,,,CHRISTMAS ISLAND,OT,6798,P218105/35,90000102000,PRINCIPAL,,,,PROPERTY CENTROID,105.67221035,-10.43258646
GAOT_717321275,10-11-2017,"11 JALAN PANTAI, CHRISTMAS ISLAND OT 6798",,,,,,,11,,,JALAN PANTAI,,,CHRISTMAS ISLAND,OT,6798,P030932/582,90000111000,PRINCIPAL,,,,PROPERTY CENTROID,105.67214273,-10.4275108
GAOT_717321277,13-02-2021,"15 JALAN PANTAI, CHRISTMAS ISLAND OT 6798",,,,,,,15,,,JALAN PANTAI,,,CHRISTMAS ISLAND,OT,6798,P218420/286,90000111000,PRINCIPAL,,PRIMARY,,PROPERTY CENTROID,105.67113893,-10.42884881
GAOT_717321278,13-02-2021,"17 JALAN PANTAI, CHRISTMAS ISLAND OT 6798",,,,,,,17,,,JALAN PANTAI,,,CHRISTMAS ISLAND,OT,6798,P218420/285,90000111000,PRINCIPAL,,PRIMARY,,PROPERTY CENTROID,105.67070353,-10.42932365
GAOT_717321279,10-11-2017,"19 JALAN PANTAI, CHRISTMAS ISLAND OT 6798",,,,,,,19,,,JALAN PANTAI,,,CHRISTMAS ISLAND,OT,6798,P194980/537,90000111000,PRINCIPAL,,,,PROPERTY CENTROID,105.67030637,-10.42981076
GAOT_717321291,10-11-2017,"16 JALAN PERAK, CHRISTMAS ISLAND OT 6798",,,,,,,16,,,JALAN PERAK,,,CHRISTMAS ISLAND,OT,6798,P218159/245,90000112000,PRINCIPAL,,,,PROPERTY CENTROID,105.67743244,-10.42339788
GAOT_717321302,10-11-2017,"8 JALAN PERAK, CHRISTMAS ISLAND OT 6798",,,,,,,8,,,JALAN PERAK,,,CHRISTMAS ISLAND,OT,6798,P218117/218,90000112000,PRINCIPAL,,,,PROPERTY CENTROID,105.67813885,-10.42266269
GAOT_717321318,10-11-2017,"3 LAM LOK LOH, CHRISTMAS ISLAND OT 6798",,,,,,,3,,,LAM LOK LOH,,,CHRISTMAS ISLAND,OT,6798,P218163/260,90000102000,PRINCIPAL,,,,PROPERTY CENTROID,105.67350628,-10.43137966
GAOT_717321327,12-05-2020,"17 LOWER POON SAAN DR, CHRISTMAS ISLAND OT 6798",,,,,,,17,,,LOWER POON SAAN,DRIVE,,CHRISTMAS ISLAND,OT,6798,P218113/65,90000112000,PRINCIPAL,,,,PROPERTY CENTROID,105.68009809,-10.42103902
GAOT_717321328,12-05-2020,"18 LOWER POON SAAN DR, CHRISTMAS ISLAND OT 6798",,,,,,,18,,,LOWER POON SAAN,DRIVE,,CHRISTMAS ISLAND,OT,6798,P218116/102,90000112000,PRINCIPAL,,,,PROPERTY CENTROID,105.67903937,-10.4221806
GAOT_717321334,12-05-2020,"24 LOWER POON SAAN DR, CHRISTMAS ISLAND OT 6798",,,,,,,24,,,LOWER POON SAAN,DRIVE,,CHRISTMAS ISLAND,OT,6798,P218116/105,90000112000,PRINCIPAL,,,,PROPERTY CENTROID,105.67869285,-10.42291526
GAOT_717321343,12-05-2020,"33 LOWER POON SAAN DR, CHRISTMAS ISLAND OT 6798",,,,,,,33,,,LOWER POON SAAN,DRIVE,,CHRISTMAS ISLAND,OT,6798,P218115/100,90000112000,PRINCIPAL,,,,PROPERTY CENTROID,105.67909973,-10.42297216
GAOT_717321345,12-05-2020,"35 LOWER POON SAAN DR, CHRISTMAS ISLAND OT 6798",,,,,,,35,,,LOWER POON SAAN,DRIVE,,CHRISTMAS ISLAND,OT,6798,P218160/249,90000112000,PRINCIPAL,,,,PROPERTY CENTROID,105.67895948,-10.42325008
GAOT_717321358,12-05-2020,"3 MURRAY RD, CHRISTMAS ISLAND OT 6798",,,,,,,3,,,MURRAY,ROAD,,CHRISTMAS ISLAND,OT,6798,P029362/1016,90000123000,PRINCIPAL,,,,PROPERTY CENTROID,105.6823184,-10.42291496
GAOT_717321381,10-11-2017,"10 PAI CHIN LU, CHRISTMAS ISLAND OT 6798",,,,,,,10,,,PAI CHIN LU,,,CHRISTMAS ISLAND,OT,6798,P218113/71,90000112000,PRINCIPAL,,,,PROPERTY CENTROID,105.67833844,-10.42107966
GAOT_717321383,10-11-2017,"2 PAI CHIN LU, CHRISTMAS ISLAND OT 6798",,,,,,,2,,,PAI CHIN LU,,,CHRISTMAS ISLAND,OT,6798,P218113/67,90000112000,PRINCIPAL,,,,PROPERTY CENTROID,105.67932902,-10.42153258
