,Unnamed: 0,SiteId,SiteRef,SiteOpenIssueId,IssueID,Issue Type,AMSAssetRef,IssueDescription,IssueCreated,RiskRating,WorkRequired,ResidualRisk,Status,Comments,S/P No,PDS I/P No,FixedDate,address_tower_id,AssetRef,RaisedBy,ResolutionComments,ResolvedbyProject,SiteName,TelstraAddressID,Asset Owner CompanyName,OpExEstimate,CapExEstimate,ReviewDate,DateLastUpdated,_LastEditDate,_CreatedDate,UserLastUpdated,ResourcesNeeded,CreatedbyProject,PMProjectRef,CorrosionRegionType,WindRegionType,StructureClassCode,Height,StructureInstallationDate,Latitude,Longitude,PaintingType,Land_Elevation,distance_km
10,46,1807,NSW001807,50964,NSW001807-19,Minor Maintenance,NSW001807_STR_1,Heavy corrosion present on 1x earth strap above ground & 2 have light corrosion below ground. Other 2 earth straps are in good condition.,2023-07-14,2C - PM4 - 5 Years,RPAS F01 07-07-23: Replace the heavily corroded earth strap from the structure out to the earth mat.  Suffering heavy corrosion at the base of the structure and light/medium corrosion below ground.  Temporarily treated at IRM (wire brushed and cold gal applied).,4A - PM4 - 7 Years,PM4,,,,,31115_1,STR_1,Debby Kirkwood,,,MEREWETHER RESERVOIR,31115,AMPLITEL,,,2028-07-12,,,2023-07-14,,,,,E (Very High),A,POLE STEEL,15.0,2003-12-11,-32.95195,151.74696,NOT PAINTED,99.09481811523438,0.35506282295698066
11,47,1807,NSW001807,12738,NSW001807-9,Planned Maintenance,NSW001807_STR_1,Heavy Corroded bolts on Telstra's Head Frame and Antenna Mounting bolts at the 15m level.,2009-03-13,5B - PM3 - 3 Years,"PBR 29663251 Replace heavily corroded bolts on Telstra's Head Frame and Antennas A1, A2, A3 and A4 mounting points at the 15m level using 48 x 20mm x 50mm bolts, nuts, flat and spring washers and 16 x 16mm x 50mm bolts, nuts, flat and spring washers.",2E - PM1 - 6 Months,FXD,Legacy Status: PM1,SP16000011 WO0024,7/09/2009 12:00:00 AM,2009-11-03,31115_1,STR_1,IRM@excelriggingservices.com.au,,,MEREWETHER RESERVOIR,31115,AMPLITEL,,,,Nov 30 2009 11:21AM,,,paul.r.fitzpatrick@team.telstra.com,,,,E (Very High),A,POLE STEEL,15.0,2003-12-11,-32.95195,151.74696,NOT PAINTED,99.09481811523438,0.35506282295698066
12,48,1807,NSW001807,12733,NSW001807-4,Planned Maintenance,NSW001807_STR_1,Corrosion exists on the structure,2018-10-31,5C - PM2 - 12 Months,TIM to review the F03 report & photos.  Corrosion found on the structure at inspection.  (Double up of corrosion issue in CANRAD.  This issue closed. DK).,1E - NSV,FXD,Legacy Status: PM2,,,2020-03-25,31115_1,STR_1,IRM@excelriggingservices.com.au,,,MEREWETHER RESERVOIR,31115,AMPLITEL,,,,Mar 25 2020 10:35AM,,,IRM@excelriggingservices.com.au,,,,E (Very High),A,POLE STEEL,15.0,2003-12-11,-32.95195,151.74696,NOT PAINTED,99.09481811523438,0.35506282295698066
13,49,1819,NSW001819,12813,NSW001819-4,Planned Maintenance,NSW001819_STR_1,Corrosion possibly to the internal reinforcing steel in the concrete pole.,2012-06-26,2B - MON,Corrosion possibly to the internal reinforcing steel in the concrete pole. Monitor area for cracking to the pole base as corrosion level increases in the future.  (Monitored at IRM Feb 2020.  Foundation & Steel jacket upgrade installed covering old foundation base)DK.  Discussed with Peter Grogan who advised to set this issue to FIXED.,2A - MON,FXD,Legacy Status: MON,SP20161711 WO2000,17/01/2012 12:00:00 AM,2020-02-25,58533_1,STR_1,IRM@excelriggingservices.com.au,,,NOMBI OXLEY HWY,58533,AMPLITEL,,,,Feb 25 2020 11:37AM,,,IRM@excelriggingservices.com.au,,,,B (Low),A,POLE CONCRETE,20.0,2003-12-11,-31.13171,149.71103,NOT PAINTED,558.0482788085938,247.31345136246068
14,50,1825,NSW001825,12833,NSW001825-1,Planned Maintenance,NSW001825_STR_1,Medium Corrosion present. All items inspected & all corrosion recorded,2018-08-27,5C - PM2 - 12 Months,Towers Planning to review Structure Corrosion Report (only minor corrosion to hut roof.  Should have been reported to FST Mtce.  Not service affecting.  This issue redundant.DK).,3E - TFP / EM3 - 30 Days,FXD,Legacy Status: PM2,,,2020-02-25,45963_1,STR_1,IRM@excelriggingservices.com.au,,,BERGALIA EXCHANGE,45963,AMPLITEL,,,,Feb 25 2020  1:21PM,,,IRM@excelriggingservices.com.au,,,,C (Medium),A,POLE TIMBER,10.0,2003-12-11,-35.966694,150.10133,NOT PAINTED,25.34433937072754,4.654077069896854
15,51,1838,NSW001838,12891,NSW001838-8,Planned Maintenance,NSW001838_STR_1,Surface Corrosion on Bulldog Clamps and Hold Down Pegs on Structure.,2005-12-22,2C - PM4 - 5 Years,Repair Surface Corrosion on Bulldog Clamps by wire brushing and applying Zinc Enriched Paint.,1A - MON,FXD,Legacy Status: FXD,SP10008913 WO0001,21/07/2005 12:00:00 AM,2005-12-22,144883_1,STR_1,Nela.M.Mercieca@team.telstra.com,,,ELLA VALE,144883,AMPLITEL,,,,,,,,,,,B (Low),A,TRIAD STEEL,9.0,2003-12-11,-29.44696,145.443253,NOT PAINTED,131.8457336425781,49.636125539383436
16,52,1843,NSW001843,12926,NSW001843-5,Planned Maintenance,NSW001843_STR_1,Earth straps from tower showing rust.,2004-06-18,2C - PM4 - 5 Years,Wire brush earth straps and coat with galmet paint.,1C - MON,FXD,Legacy Status: PM3,SP10010464 WO0032,13/03/2007 12:00:00 AM,2007-05-04,71329_1,STR_1,Trish.Robinson@team.telstra.com,,,BORA RT,71329,AMPLITEL,,,,May  4 2007  9:27AM,,,Stephen.R.Davies@team.telstra.com,,,,B (Low),A,TOWER STEEL,60.0,2003-12-11,-29.430481406,146.561196683,NOT PAINTED,123.213020324707,47.812913192323904
17,53,1866,NSW001866,13044,NSW001866-5,Planned Maintenance,NSW001866_STR_1,SURFACE CORRSION ON  W face,2006-06-15,1C - MON,repair surface corrosion on W face,1A - MON,FXD,Legacy Status: FXD,SP10008913 WO0001,21/07/2005 12:00:00 AM,2006-06-15,43677_1,STR_1,levans@tellum.com.au,,,GRAVESEND EXCHANGE,43677,AMPLITEL,,,,,,,,,,,B (Low),A,TOWER STEEL,30.0,2003-12-11,-29.582609074,150.334448081,NOT PAINTED,286.1199951171875,102.01993154226841
18,54,1879,NSW001879,13101,NSW001879-2,Planned Maintenance,NSW001879_STR_1,Structure earth strap suffering medium to heavy corrosion,2021-02-23,4B - PM3 - 4 Years,"Inspect the structure earth strap suffering medium to heavy corrosion at next inspection.  Ensure enough green/yellow earth cables, lugs, denso are taken to site to carry out repairs if needed. F01_190221_ref 023/024",1E - NSV,PM3,Legacy Status: PM3,,,,45738_1,STR_1,IRM@excelriggingservices.com.au,,,NEDGERA SCAX,45738,AMPLITEL,,,2025-02-22,,,,,,,,B (Low),A,MAST FREE STANDING,18.0,2003-12-11,-31.024304553,148.194452712,NOT PAINTED,177.3962097167969,224.50382308211442
19,55,1882,NSW001882,13118,NSW001882-7,Planned Maintenance,NSW001882_STR_1,"Light corrosion on both antenna panning arm ""U"" bolts (2 out of 2 ""U"" bolts).",2011-03-24,1C - MON,"Wire brush and treat antenna ""U"" bolts SIZE: M16 ITEM 1.25 - drawing QB250018 (off national drawings in CADLINK) QUANTITY: 2 ""U"" bolts required. (Treated at IRM 2021)",1A - MON,MON,Legacy Status: MON,SP20151611 WO2000,17/01/2012 12:00:00 AM,,45675_1,STR_1,IRM@excelriggingservices.com.au,,,COLO PASSIVE,45675,AMPLITEL,100,,2026-04-13,Apr 22 2021  4:27PM,,,IRM@excelriggingservices.com.au,,,,B (Low),A,MAST FREE STANDING,21.94,2003-12-11,-33.401210866,150.760705464,NOT PAINTED,216.1897125244141,37.867727021136155
20,56,1882,NSW001882,13117,NSW001882-6,Planned Maintenance,NSW001882_STR_1,"Light corrosion on both antenna mount ""V"" bolts (10 out of 16 ""V"" bolts).",2011-03-24,1C - MON,"Wire brush and treat antenna ""V"" bolts SIZE: M16 ITEM 3.13 - drawing QB200145 (off national drawings in CADLINK) QUANTITY: 16 ""V"" bolts required. (Treat at IRM 2021)",1A - MON,MON,Legacy Status: MON,SP20151611 WO2000,17/01/2012 12:00:00 AM,,45675_1,STR_1,IRM@excelriggingservices.com.au,,,COLO PASSIVE,45675,AMPLITEL,500,,2026-04-13,Apr 22 2021  4:27PM,,,IRM@excelriggingservices.com.au,,,,B (Low),A,MAST FREE STANDING,21.94,2003-12-11,-33.401210866,150.760705464,NOT PAINTED,216.1897125244141,37.867727021136155
21,57,1886,NSW001886,13138,NSW001886-4,Planned Maintenance,NSW001886_STR_1,Signs of corrosion on splice plate nuts and bolts at approximately 6m level,2004-06-21,4B - PM3 - 4 Years,Remove and replace nuts and bolts with new total needed 8x20mmx45mm bolts. See additional photos Typr_0475 and Typr_0476,1A - MON,FXD,Legacy Status: PM3,SP10006004 WO0006,26/08/2004 12:00:00 AM,2005-03-18,45750_1,STR_1,Trish.Robinson@team.telstra.com,,,TYRINGHAM PASSIVE,45750,AMPLITEL,,,,Mar 22 2005 12:56PM,,,joe.sweeney@au.abb.com,,,,B (Low),A,TOWER STEEL,20.0,2003-12-11,-30.21864169,152.5472958,NOT PAINTED,850.8982543945312,55.35857810230996
22,58,1886,NSW001886,13136,NSW001886-2,Planned Maintenance,NSW001886_STR_1,Signs of corrosion on spacers on vertical panning arm on both dishes.,2004-06-21,4B - PM3 - 4 Years,Use of a wire brush to clean off surface rust from spacers and galmet or epoxy paint. See additional photo Typr_0470,1A - MON,FXD,Legacy Status: PM3,SP10006004 WO0006,26/08/2004 12:00:00 AM,2005-03-18,45750_1,STR_1,Trish.Robinson@team.telstra.com,,,TYRINGHAM PASSIVE,45750,AMPLITEL,,,,Mar 22 2005 12:56PM,,,joe.sweeney@au.abb.com,,,,B (Low),A,TOWER STEEL,20.0,2003-12-11,-30.21864169,152.5472958,NOT PAINTED,850.8982543945312,55.35857810230996
23,59,1887,NSW001887,13148,NSW001887-7,Planned Maintenance,NSW001887_STR_1,Heavy corrosion present. All items inspected & all corrosion recorded.,2012-01-18,3A - PM4 / NSV - 10 Years,PBR 31393172 Constructors attending site for the repairs to the access door are to review Structure Corrosion Report and treat issues whilst on site.,2E - PM1 - 6 Months,FXD,Legacy Status: PM4,SP14000011 WO0037,28/02/2012 12:00:00 AM,2012-03-21,45194_1,STR_1,IRM@excelriggingservices.com.au,,,UPPER ORARA EXCHANGE,45194,AMPLITEL,,,,Mar 23 2012 12:02PM,,,jason.j.brown@team.telstra.com,,,,C (Medium),A,POLE STEEL,18.0,2003-12-11,-30.277935,153.00488,NOT PAINTED,122.8978805541992,12.50137614559418
24,60,1887,NSW001887,13150,NSW001887-9,Planned Maintenance,NSW001887_STR_1,"Access hatch door to structure, has broken hinges, from heavy corrosion.",2012-01-18,4D - UM - 1-3 Months,"PBR 31393172: Repair / replace door hinges on access door to Q pole. Access hatch door to structure, has broken hinges, from heavy corrosion.",1A - MON,FXD,Legacy Status: UM,SP14000011 WO0037,28/02/2012 12:00:00 AM,2012-03-21,45194_1,STR_1,IRM@excelriggingservices.com.au,,,UPPER ORARA EXCHANGE,45194,AMPLITEL,,,,Mar 23 2012 12:01PM,,,jason.j.brown@team.telstra.com,,,,C (Medium),A,POLE STEEL,18.0,2003-12-11,-30.277935,153.00488,NOT PAINTED,122.8978805541992,12.50137614559418
25,61,1898,NSW001898,13212,NSW001898-6,Planned Maintenance,NSW001898_STR_1,"Surface-Light corrosion present. All items  inspected, however not all corrosion recorded",2012-02-03,2B - MON,"~Towers Planning to review Structure Corrosion Report. ~AJ, Corrosion Report reviewed, Inspectors are to complete a new Corrosion Report next inspection to monitor this issue.",2B - MON,FXD,Legacy Status: MON,SP20161711 WO3000,29/02/2012 12:00:00 AM,2016-06-02,45296_1,STR_1,IRM@excelriggingservices.com.au,,,MOUNT GANGHAT,45296,AMPLITEL,,,,Jun  2 2016  1:10PM,,,Adam.K.Jaggard@team.telstra.com,,,,C (Medium),A,TOWER STEEL,54.0,2003-12-11,-31.92127575,152.181735068,NOT PAINTED,579.3331909179688,36.54392721343466
26,62,1898,NSW001898,13213,NSW001898-7,Planned Maintenance,NSW001898_STR_1,I&RM inspectors identified the anti climb barbwire is corroding and is ineffective to stop unauthorised people from climbing the structure. Refer to CANRAD photo: MTGT site.JPG.,2012-02-03,4C - TFP / PM3 - 18 Months,~I&RM Contract Company are to supply TIM with a quote to remove the redundant anti climb at next inspection as there is a man proof fence and the site is not located near any significant population.,1D - NSV,FXD,Legacy Status: PM3,SP20161711 WO3000,29/02/2012 12:00:00 AM,2018-07-28,45296_1,STR_1,IRM@excelriggingservices.com.au,,,MOUNT GANGHAT,45296,AMPLITEL,500,,,Aug 20 2018  1:14PM,,,IRM@excelriggingservices.com.au,,,,C (Medium),A,TOWER STEEL,54.0,2003-12-11,-31.92127575,152.181735068,NOT PAINTED,579.3331909179688,36.54392721343466
27,63,1898,NSW001898,13218,NSW001898-12,Planned Maintenance,NSW001898_STR_1,All antenna mounting clamps are corroded.   Corrosion all nuts on pasolink mount.  Corrosion on earth straps underground.,2004-11-17,2B - MON,NRP: Issues were not mentioned in latest report. Towers and Compliance to investigate. Contacted J Moran inspector minor corrosion fixed on site. Issue closed.,2B - MON,FXD,Legacy Status: REC,,,2005-04-12,45296_1,STR_1,michael.c.armour@team.telstra.com,,,MOUNT GANGHAT,45296,AMPLITEL,,,,Apr 12 2005  9:47AM,,,Wade.McAuslan@team.telstra.com,,,,C (Medium),A,TOWER STEEL,54.0,2003-12-11,-31.92127575,152.181735068,NOT PAINTED,579.3331909179688,36.54392721343466
28,64,1926,NSW001926,49607,NSW001926-9,Planned Maintenance,NSW001926_STR_1,"PDS IP 500373853 SP30103641, MOSMAN COWLES RD CMTS, NSW, REF:NSW001926, AMPLITEL, FY24, PM - STRUCTURE EARTH. x Copper earth clamped directly to foundation caged threads under torqued nuts, 2 x Copper earth disconnected from earth pin embedded into concrete.",2023-06-14,5C - PM2 - 12 Months,"RPAS IRM 10-06-23:  Towers to consult structure earthing expert to determine how/where to install new/additional earthing.  Current structure earths are old and damaged, corroding and require replacement.  Structure is surrounded by concrete.",2A - MON,PM2,"PDS 50037385, SP30103641, MOSMAN COWLES RD CMTS, NSW, REF:NSW001926, AMPLITEL, FY24, PM - STRUCTURE EARTH.",30103641,50037385,2023-10-23,41867_1,STR_1,Debby Kirkwood,,32672.0,MOSMAN COWLES RD CMTS,41867,AMPLITEL,17000,,2024-06-13,,,2023-06-14,,2.0,,LCR-32672,C (Medium),A,POLE STEEL,25.0,2002-02-20,-33.82514,151.23842,ENVIRONMENT / AESTHETIC,92.89429473876952,1.1729174449404598
29,65,1946,NSW001946,53616,NSW001946-10,Minor Maintenance,NSW001946_STR_1,Second Ladder Section from Top. Rail at Base Joint Right Hand Side Suffering from Heavy Corrosion due to debris build up restricting drainage.,2024-01-18,3B - PM4 - 5 Years,"IRM_091223: Replace Ladder Section or instal brace/clamp to suit. All Ladder Joints inspected, nil further discrepencies detected. Removed Debris/ Chipped and treated with Galmet. If replacing section length check DWG for TOWER STEEL ROAM RT56. 52.8 MTR. Photo_036",2A - MON,PM4,,,,,84564_1,STR_1,Shaun Omalley,,,CUDGERA OFF CUDGERA CK RD,84564,AMPLITEL,,,2029-01-16,Jan 18 2024 11:34PM,2024-01-18,2024-01-18,Shaun Omalley,,,,C (Medium),B,TOWER STEEL,52.88,2002-03-19,-28.402295278,153.523286389,NOT PAINTED,136.4036254882812,4.106876519504771
30,66,1968,NSW001968,13561,NSW001968-5,Planned Maintenance,NSW001968_STR_1,Surface-Light corrosion present. All items inspected & all corrosion recorded.,2012-04-18,2B - MON,Review Structure Corrosion Report.,1C - MON,FXD,Legacy Status: MON,SP14000001 WO0001,15/06/2011 12:00:00 AM,2012-01-17,69654_1,STR_1,IRM@excelriggingservices.com.au,,,BLACK SUGARLOAF RT,69654,AMPLITEL,,,,May 15 2012  3:55PM,,,Peter.R.Grogan@team.telstra.com,,,,B (Low),A,TOWER STEEL,16.7,2002-04-23,-31.37304221,151.54011849,NOT PAINTED,1375.708618164062,120.06650779283501
31,67,1973,NSW001973,46628,NSW001973-11,Routine Maintenance,NSW001973_STR_1,Heavy corrosion on 2 x V bolts holding damaged yagi antenna.,2023-01-12,3C - PM3 - 2 Years,"Possibly CANRAD A18 & A19 marked as Removed or older, upon discussions with Peter Grogan it could have belonged to LGA, NSW Rural Fire Service or Dungog Shire Council.  Owner unknown.  The mount and part of the yagi antenna remains in situ.  U-bolts suffering heavy corrosion.  Recover antenna remnants and mounting hardware from structure at next inspection. Removed under Site Share NC 2412 10/09/2020.",1A - MON,PM3,,,,2024-03-27,70694_1,STR_1,Debby Kirkwood,,,MOONABUNG - MT GEORGE TRIG,70694,AMPLITEL,,,2025-01-11,Mar 27 2024  1:21PM,2024-03-27,2023-01-12,Bruce Smith,,,,C (Medium),A,POLE STEEL,30.0,2002-04-30,-32.540067183,151.524175184,NOT PAINTED,435.82568359375,46.17667590196208
32,68,1974,NSW001974,49321,NSW001974-11,Routine Maintenance,NSW001974_STR_1,Earth mat straps suffering from medium corrosion,2023-05-15,2D - PM2 - 12 Months,"PDS IP50037295 SP30103641, OXLEY CMTS, NSW, REF:NSW001974, AMPLITEL, FY24, PM - STRUCTURE EARTH. Excavate the structure earth halo/mat and check general condition.  Structure earths found to be heavily corroded at RPAS IRM 06-05-23.  Mug map supplied see NSW001974_051.",1C - MON,PM2,,SP30103641,50037295,2024-05-16,42134_1,STR_1,Debby Kirkwood,,32196.0,OXLEY CMTS,42134,AMPLITEL,22000,,2024-05-14,,,2023-05-15,,2.0,,LCR-32196,B (Low),A,TOWER STEEL,50.0,2002-05-01,-34.194867,144.103342,NOT PAINTED,72.41278076171875,95.90409812276617
33,69,2012,NSW002012,13798,NSW002012-4,Planned Maintenance,NSW002012_STR_1,"Light  Corrosion on ""Chicken mesh"" bird proofing at top of pole",2011-01-31,1C - MON,"Monitor ""Chicken mesh"" bird proofing corrosion at next inspection.  (Not mentioned at inspection 2016.  Issue closed).",1A - MON,FXD,Legacy Status: MON,,,2016-05-16,88089_1,STR_1,IRM@excelriggingservices.com.au,,,MEDOWIE MOB,88089,AMPLITEL,,,,May 16 2016  7:53PM,,,IRM@excelriggingservices.com.au,,,,C (Medium),A,POLE CONCRETE,30.0,2002-07-31,-32.74276,151.8592,NOT PAINTED,8.695181846618652,7.248224143819249
34,70,2028,NSW002028,13868,NSW002028-4,Planned Maintenance,NSW002028_STR_1,Link bolts holding 12-15m pipe extension has light corrosion.,2012-08-25,2A - MON,Monitor the condition of the link bolts supporting the pipe extension.  Found to be suffering light corrosion.  Will require a cherry picker to access bolts at 12m. Replace bolts to a Hot dipped Galvanised Bolt.  Link bolts holding pipe extension suffering light corrosion.  (IRM 2021 no comment on condition).,1A - MON,MON,Legacy Status: MON,SP20161711 WO1000,17/01/2012 12:00:00 AM,,140752_1,STR_1,IRM@excelriggingservices.com.au,,,THALABA STATION,140752,AMPLITEL,6500,,2031-07-31,Aug 13 2021 11:11AM,,,IRM@excelriggingservices.com.au,,,,B (Low),A,TRIAD STEEL,12.0,2002-09-10,-29.911601327,148.4618728,NOT PAINTED,142.2938537597656,101.14911666203704
35,71,2033,NSW002033,13888,NSW002033-3,Planned Maintenance,NSW002033_STR_1,"Light corrosion on antenna A01, A02, A03, A04, A05, & A06 mounting brackets M16 galvanised threaded rod",2011-01-28,1E - NSV,PBR 30869585 Treat with wire brush and galmet or replace old antenna mounting brackets with new F-042-GL-E mounting kits (6 kits required) at next site inspection.,1E - NSV,FXD,Legacy Status: NSV,SP14000011 WO0018,11/08/2011 12:00:00 AM,2011-10-25,96581_1,STR_1,IRM@excelriggingservices.com.au,,,CLARENCE TOWN,96581,AMPLITEL,,,,Mar 14 2012 10:49AM,,,jason.j.brown@team.telstra.com,,,,C (Medium),A,POLE STEEL,20.0,2002-10-04,-32.564083333,151.780480556,NOT PAINTED,155.5427093505859,20.428128891643464
